"album_id","album_name","original_artist","action","distinct_artists","total_tracks","top1_artist","top1_tracks","top2_artist","top2_tracks","top3_artist","top3_tracks","notes"
578,"The Anthology","A Tribe Called Quest","KEEP_AS_VA",3,20,"Chuck Berry",16,"A Tribe Called Quest",3,"Q-Tip",1,"2 clusters but comp-named - preserving group"
158,"Unplugged","Neil Young","SPLIT_PER_ARTIST",3,20,"Neil Young",14,"JAY-Z",4,"Eric Clapton",2,"2 clusters, name collision"
7331,"Bigger & Blacker (Explicit Version)","Chris Rock","COLLAPSE_TO_PRIMARY",3,19,"Chris Rock",16,"Ali LeRoi",2,"Wanda Sykes",1,"single cluster (Chris Rock: 16)"
579,"Compton","Dr. Dre","COLLAPSE_TO_PRIMARY",3,17,"Dr. Dre",14,"The Game",2,"Jon Connor",1,"single cluster (Dr. Dre: 14)"
8470,"Rare Bird Alert","Steve Martin; Steep Canyon Rangers","COLLAPSE_TO_PRIMARY",3,13,"Steve Martin; Steep Canyon Rangers",11,"Steve Martin; Steep Canyon Rangers; Dixie Chicks",1,"Steve Martin; Steep Canyon Rangers; Paul McCartney",1,"single cluster (Steve Martin; Steep Canyon Rangers: 11)"
5369,"Waves","Joey Bada$$","SPLIT_PER_ARTIST",3,10,"Wun Two",6,"ProbCause",3,"Joey Bada$$",1,"2 clusters, name collision"
4473,"Ella & Louis Christmas","Louis Armstrong","COLLAPSE_TO_PRIMARY",3,9,"Louis Armstrong",7,"Ella Fitzgerald",1,"Louis Armstrong & His All-Stars",1,"single cluster (Louis Armstrong: 7)"
6359,"L Corleone","Big L","COLLAPSE_TO_PRIMARY",3,9,"Big L",7,"Shyheim",1,"Stan Spit",1,"single cluster (Big L: 7)"
3476,"The Genius Of The Electric Guitar","Charlie Christian","SPLIT_PER_ARTIST",3,7,"Benny Goodman Sextet",3,"Charlie Christian",3,"Benny Goodman",1,"2 clusters, name collision"
1371,"The Chess Box","Chuck Berry","KEEP_AS_VA",3,5,"Muddy Waters",2,"Bo Diddley",2,"Chuck Berry",1,"no clusters, comp-shape/name"
1840,"Lover Man","Jimi Hendrix","SPLIT_PER_ARTIST",3,4,"Billie Holiday",2,"Jimi Hendrix",1,"Sarah Vaughan",1,"no clusters, sparse anomaly"
2540,"Number Ones","Stevie Wonder","SPLIT_PER_ARTIST",3,4,"Michael Jackson",2,"Stevie Wonder",1,"Bee Gees",1,"no clusters, sparse anomaly"
4348,"Prestige Profiles","Eric Dolphy","SPLIT_PER_ARTIST",3,4,"John Coltrane",2,"Red Garland",1,"Eric Dolphy",1,"no clusters, sparse anomaly"
2291,"Total","Total","SPLIT_PER_ARTIST",3,4,"Sebastian",2,"Total",1,"Joy Division",1,"no clusters, sparse anomaly"
10444,"60 Minutes Podcast - The Full Broadcast","Frank Sinatra","SPLIT_PER_ARTIST",3,3,"Frank Sinatra",1,"Coldplay",1,"The Beatles",1,"no clusters, sparse anomaly"
